OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
voli con allarmi,fco,ist,2024-01-30 09:15:00,roma,istanbul,turchia,5,1,manuale,,
viaggiatori con allarmi,cia,stn,2024-02-03 13:15:00,roma,londra,regno unito,5,5,manuale,,
viaggiatori entrati,fco,lhr,2024-01-15 08:45:00,roma,londra,regno unito,5,110,tsc,,
voli con allarmi,mxp,lhr,2024-02-02 08:40:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori con allarmi,psa,brs,2024-02-16 12:50:00,pisa,bristol,regno unito,8,2,interpol,,
voli con allarmi,mxp,lhr,2024-01-06 09:20:00,milano,londra,regno unito,2,1,sdi,,
viaggiatori investigati,vce,skp,2024-01-27 06:40:00,venezia,skopie,macedonia,4,165,manuale,,
voli investigati,fco,doh,2024-02-15 09:15:00,roma,doha,qatar,5,1,manuale,,
voli investigati,fco,rmo,2024-02-14 17:20:00,roma,chisinau,moldavia,5,1,,,
voli disponibili,mxp,ssh,2024-02-25 13:10:00,milano,sharm el sheikh,egitto,2,1,sdi,,
voli solo visualizzati,fco,cai,2024-01-13 10:00:00,roma,cairo,egitto,5,1,,,
voli disponibili,vce,stn,2024-01-05 18:15:00,venezia,londra,regno unito,4,1,sdi,,
viaggiatori con allarmi,mxp,jed,2024-02-11 19:30:00,milano,jeddah,arabia saudita,2,32,tsc,,
voli solo visualizzati,bgy,stn,2024-02-23 07:15:00,bergamo,londra,regno unito,2,1,nsis,,
voli solo visualizzati,fco,brs,2024-02-09 12:50:00,roma,bristol,regno unito,5,1,manuale,,
esito negativo,fco,sin,2024-01-02 02:05:00,roma,singapore,singapore,5,1,,,
voli con allarmi,blq,tun,2024-02-12 08:00:00,bologna,tunis,tunisia,8,1,nsis,,
voli investigati,bgy,tia,2024-01-15 17:10:00,bergamo,tirana,albania,2,1,manuale,,
voli con allarmi,mxp,hkg,2024-01-13 00:50:00,milano,hong kong,hong kong,2,1,manuale,,
voli disponibili,blq,ist,2024-01-28 00:00:00,bologna,istanbul,turchia,8,1,nsis,,
voli investigati,fco,tun,2024-01-24 11:25:00,roma,tunis,tunisia,5,1,sdi,,
viaggiatori investigati,blq,cmn,2024-01-14 07:55:00,bologna,casablanca,marocco,8,158,,,
voli investigati,mxp,tun,2024-02-04 07:45:00,milano,tunis,tunisia,2,2,nsis,,
voli solo visualizzati,vrn,tia,2024-01-29 20:30:00,verona,tirana,albania,4,,,,
esito negativo,cia,man,2024-02-10 15:15:00,roma,manchester,regno unito,5,2,tsc,,
voli con allarmi,mxp,tpe,2024-02-19 23:05:00,milano,taipei,taiwan,2,1,manuale,,
allarmi generati,fco,tpe,2024-01-11 23:25:00,roma,taipei,taiwan,5,8,sdi,,
esito negativo,blq,beg,2024-02-25 17:30:00,bologna,belgrado,serbia,8,1,interpol,,
viaggiatori investigati,nap,ist,2024-02-08 17:55:00,napoli,istanbul,turchia,6,120,interpol,,
allarmi generati,mxp,mct,2024-01-19 17:25:00,milano,muscat,oman,2,44,,doppio controllo,
voli investigati,bgy,tia,2024-02-18 15:15:00,bergamo,tirana,albania,2,1,,,
voli solo visualizzati,fco,alg,2024-02-08 10:30:00,roma,algeri,algeria,5,2,,,
voli disponibili,fco,tlv,2024-02-02 06:10:00,roma,tel aviv yafo,israele,5,1,interpol,,
allarmi chiusi,goa,tia,2024-02-07 12:25:00,genova,tirana,albania,1,34,nsis,,
voli investigati,blq,dxb,2024-01-19 08:55:00,bologna,dubai,emirati arabi uniti,8,1,tsc,alert manuale,
viaggiatori con allarmi,fco,ist,2024-01-08 21:10:00,roma,istanbul,turchia,5,18,tsc,,
voli con allarmi,trn,stn,2024-01-05 00:00:00,torino,londra,regno unito,1,,manuale,,
allarmi chiusi,cia,tia,2024-01-12 08:10:00,roma,tirana,albania,5,10,sdi,,
esito negativo,cia,rak,2024-01-01 05:45:00,roma,marrakech,marocco,5,1,manuale,,
voli investigati,nap,ist,2024-02-01 08:00:00,napoli,istanbul,turchia,6,1,manuale,,
voli investigati,mxp,tlv,2024-02-14 15:45:00,milano,tel aviv yafo,israele,2,1,sdi,,
voli disponibili,bgy,cai,2024-01-22 07:50:00,bergamo,cairo,egitto,2,1,,,
esito negativo,fco,saw,2024-02-14 15:35:00,roma,istanbul,turchia,5,5,sdi,,
allarmi rilevanti,cia,rak,2024-02-13 06:15:00,roma,marrakech,marocco,5,3,manuale,,
voli solo visualizzati,blq,saw,2024-01-22 11:30:00,bologna,istanbul,turchia,8,1,sdi,,
esito negativo,fco,lgw,2024-01-12 16:40:00,roma,londra,regno unito,5,2,sdi,,
allarmi generati,fco,saw,2024-02-16 10:40:00,roma,istanbul,turchia,5,4,sdi,,
allarmi rilevanti,cta,dxb,2024-02-04 07:35:00,catania,dubai,emirati arabi uniti,7,1,sdi,,
voli disponibili,cta,tia,2024-02-11 08:20:00,catania,tirana,albania,7,1,,,
voli solo visualizzati,fco,icn,2024-01-03 13:20:00,roma,seoul,corea del sud,5,1,sdi,,
voli solo visualizzati,pmo,tun,2024-01-01 10:30:00,palermo,tunis,tunisia,7,1,tsc,,
viaggiatori con allarmi,mxp,lhr,2024-02-20 11:40:00,milano,londra,regno unito,2,2,,,
voli investigati,lin,lcy,2024-01-08 08:20:00,milano,londra,regno unito,2,,manuale,,
voli investigati,vce,tia,2024-01-25 21:20:00,venezia,tirana,albania,4,1,,,
