NAZIONALITA,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore,codice_rischio
alb,nap,dur,2024-02-13 07:30:00,napoli,durban,sudafrica,6,1,1,0,passaporto,f,,singola tratta,fly dubai,fz1681,respinto,,
,fco,jfk,2024-01-22 16:35:00,roma,new york,stati uniti,5,1,0,1,carta d'identità,f,18-30,singola tratta,ita airways,az0609,,,
alb,tsf,tia,2024-02-04 20:10:00,treviso,tirana,albania,4,58,58,13,,f,31-45,singola tratta,ryanair dac,fr8400,segnalato,,
afg,fco,ist,2024-01-25 13:05:00,roma,istanbul,turchia,5,1,1,0,,m,61+,singola tratta,turkish airlines,tk1865,,,
alb,bgy,mle,2024-02-13 00:00:00,bergamo,male,maldive,2,2,2,1,permesso di soggiorno,f,46-60,singola tratta,fly dubai,fz1571,segnalato,,
alb,tsf,ltn,2024-02-18 16:30:00,treviso,londra,regno unito,4,3,3,0,carta d'identità,f,18-30,singola tratta,ryanair dac,fr1050,respinto,,
alb,bgy,shj,2024-01-19 07:15:00,bergamo,sharjah,emirati arabi uniti,2,2,2,1,carta d'identità,m,46-60,singola tratta,air arabia,g90710,fermato,,
alb,bgy,tia,2024-01-11 21:55:00,bergamo,tirana,albania,2,128,128,18,carta d'identità,f,46-60,singola tratta,ryanair dac,fr8356,ok,,
alb,psa,tia,2024-01-06 12:40:00,pisa,tirana,albania,8,77,77,11,,f,,singola tratta,air albania,zb2009,,,
alb,blq,lhr,2024-02-09 19:35:00,bologna,londra,regno unito,8,1,1,0,carta d'identità,m,18-30,singola tratta,british airways,ba0544,ok,,
alb,blq,tia,2024-01-01 11:15:00,bologna,tirana,albania,8,,,,visto,f,46-60,singola tratta,wizz air malta,w43877,,,r3
alb,fco,tia,2024-02-06 05:35:00,roma,tirana,albania,5,,,,,f,,singola tratta,ita airways,az0507,ok,,
alb,mxp,tia,2024-02-08 19:50:00,milano,tirana,albania,2,86,86,11,permesso di soggiorno,m,18-30,singola tratta,wizz air malta,w46609,respinto,,
alb,mxp,lgw,2024-02-12 20:50:00,milano,londra,regno unito,2,1,1,0,,m,61+,singola tratta,wizz air malta,w45787,ok,,
,fco,tun,2024-02-21 19:05:00,roma,tunis,tunisia,5,1,1,0,permesso di soggiorno,m,,singola tratta,ita airways,az0867,,,
alb,lin,mia,2024-01-09 19:50:00,milano,miami,stati uniti,2,4,4,2,,,0-17,singola tratta,ita airways,az0631,segnalato,,
alb,vrn,tia,2024-01-09 12:40:00,verona,tirana,albania,4,74,74,15,carta d'identità,,31-45,singola tratta,air albania,zb2011,,,
afg,bgy,kbl,2024-01-19 18:00:00,bergamo,kabul,afghanistan,2,1,1,1,visto,f,0-17,singola tratta,fly dubai,fz1571,ok,,
alb,nap,lgw,2024-02-08 07:10:00,napoli,londra,regno unito,6,1,1,0,permesso di soggiorno,f,31-45,singola tratta,easyjet,u28339,in attesa,,
alb,bri,tia,2024-02-01 11:35:00,bari,tirana,albania,9,48,48,5,,,0-17,singola tratta,wizz air malta,w46601,,,
afg,mxp,ika,2024-02-26 08:40:00,milano,tehran,iran,2,1,1,0,carta d'identità,f,,singola tratta,turkish airlines,tk1873,ok,,
alb,bgy,saw,2024-01-06 11:10:00,bergamo,istanbul,turchia,2,2,2,1,passaporto,m,0-17,singola tratta,turkish airlines,tk7794,fermato,,
alb,mxp,ewr,2024-01-19 18:05:00,milano,newark,stati uniti,2,1,1,0,,f,18-30,singola tratta,united airlines,ua0019,segnalato,,
afg,fco,saw,2024-01-10 11:20:00,roma,istanbul,turchia,5,1,1,1,permesso di soggiorno,m,31-45,singola tratta,turkish airlines,tk7660,segnalato,,
alb,blq,tia,2024-01-24 09:10:00,bologna,tirana,albania,8,110,110,19,,,0-17,singola tratta,ryanair dac,fr8399,respinto,,
alb,bgy,bfs,2024-02-09 09:15:00,bergamo,belfast,regno unito,2,4,4,0,visto,m,18-30,singola tratta,ryanair dac,fr9603,respinto,,
alb,mxp,ist,2024-01-22 16:15:00,milano,istanbul,turchia,2,1,1,0,visto,f,,singola tratta,turkish airlines,tk1875,ok,,
alb,mxp,lhr,2024-02-04 17:00:00,milano,londra,regno unito,2,1,1,0,,,18-30,singola tratta,british airways,ba0580,fermato,,
alb,bgy,tia,2024-02-06 22:05:00,bergamo,tirana,albania,2,51,51,10,passaporto,f,46-60,singola tratta,ryanair dac,fr8356,segnalato,,
alb,blq,tia,2024-02-26 06:30:00,bologna,tirana,albania,8,1,1,0,,m,18-30,singola tratta,air serbia,ju0550,,,
alb,fco,man,2024-01-28 14:30:00,roma,manchester,regno unito,5,1,0,0,,,46-60,singola tratta,jet2.com,ls0791,in attesa,,
alb,fco,iad,2024-01-08 00:00:00,roma,washington,stati uniti,5,1,0,0,visto,m,61+,singola tratta,ita airways,az0619,,,
,fco,znz,2024-01-17 08:30:00,roma,zanzibar,tanzania,5,1,3,1,visto,m,,singola tratta,neos s.p.a.,no0263,ok,,
,fco,saw,2024-02-08 15:35:00,roma,istanbul,turchia,5,1,4,0,,m,0-17,singola tratta,pegasus airlines,pc1225,,,
alb,bri,tia,2024-02-28 11:35:00,bari,tirana,albania,9,59,59,3,,m,18-30,singola tratta,wizz air malta,w46601,segnalato,,
alb,mxp,stn,2024-01-20 17:05:00,milano,londra,regno unito,2,2,2,0,,m,18-30,singola tratta,ryanair dac,fr2759,fermato,,
alb,bgy,tia,2024-02-16 06:10:00,bergamo,tirana,albania,2,107,107,12,carta d'identità,,31-45,singola tratta,wizz air malta,w43845,respinto,,r3
alb,fco,jed,2024-01-04 10:20:00,roma,jeddah,arabia saudita,5,2,2,0,visto,f,,singola tratta,saudi arabian airlines,sv0201,fermato,,
alb,mxp,prn,2024-01-27 21:40:00,milano,pristina,cossovo,2,5,5,1,carta d'identità,f,0-17,singola tratta,wizz air malta,w45554,fermato,,
,psa,tia,2024-01-20 06:50:00,pisa,tirana,albania,8,186,186,17,permesso di soggiorno,f,61+,singola tratta,wizz air malta,w43853,respinto,,
alb,bri,stn,2024-01-31 09:50:00,bari,londra,regno unito,9,2,2,0,passaporto,m,31-45,singola tratta,ryanair dac,fr1905,segnalato,,
alb,mxp,tia,2024-02-10 06:20:00,milano,tirana,albania,2,149,149,5,,f,0-17,singola tratta,wizz air malta,w46607,,,
alb,tsf,tia,2024-01-12 06:50:00,treviso,tirana,albania,4,99,99,13,,f,31-45,singola tratta,wizz air malta,w43851,,,
afg,bgy,kbl,2024-02-14 18:00:00,bergamo,kabul,afghanistan,2,2,2,2,visto,,,singola tratta,fly dubai,fz1571,respinto,,
alb,fco,lgw,2024-01-23 09:40:00,roma,londra,regno unito,5,1,1,0,permesso di soggiorno,m,31-45,singola tratta,wizz air malta,w45781,in attesa,,
alb,mxp,ord,2024-01-13 18:15:00,milano,chicago,stati uniti,2,2,2,0,passaporto,f,0-17,singola tratta,american airlines,aa0198,fermato,,
alb,bri,tia,2024-01-17 11:35:00,bari,tirana,albania,9,38,38,40,carta d'identità,m,,singola tratta,wizz air malta,w46601,fermato,,
,tsf,tia,2024-01-16 06:50:00,treviso,tirana,albania,4,29,29,3,permesso di soggiorno,f,46-60,singola tratta,wizz air malta,w43851,,,
alb,mxp,ssh,2024-01-14 13:10:00,milano,sharm el sheikh,egitto,2,1,1,0,passaporto,f,,singola tratta,easyjet europe,ec3892,in attesa,,
alb,fco,tia,2024-01-08 19:55:00,roma,tirana,albania,5,67,0,0,,m,18-30,singola tratta,wizz air malta,w46691,ok,,
alb,bri,stn,2024-01-05 00:00:00,bari,londra,regno unito,9,1,1,1,permesso di soggiorno,f,,singola tratta,ryanair dac,fr1905,segnalato,,
alb,mxp,lgw,2024-02-09 07:00:00,milano,londra,regno unito,2,1,1,0,visto,m,18-30,singola tratta,easyjet,u2 8303,ok,,
alb,psa,tia,2024-02-21 00:00:00,pisa,tirana,albania,8,93,93,15,carta d'identità,f,0-17,singola tratta,ryanair dac,fr8391,,,
afg,mxp,ika,2024-01-17 08:40:00,milano,tehran,iran,2,1,1,0,carta d'identità,f,0-17,singola tratta,turkish airlines,tk1873,in attesa,,r2
alb,fco,saw,2024-02-18 12:30:00,roma,istanbul,turchia,5,1,1,0,carta d'identità,m,61+,singola tratta,turkish airlines,tk7660,segnalato,,
alb,psa,iad,2024-02-17 08:00:00,pisa,washington,stati uniti,8,2,2,0,,f,61+,singola tratta,british airways,ba0604,in attesa,,
alb,bgy,saw,2024-02-11 11:50:00,bergamo,istanbul,turchia,2,5,5,1,permesso di soggiorno,f,18-30,singola tratta,turkish airlines,tk7794,respinto,,
alb,mxp,dxb,2024-02-12 15:55:00,milano,dubai,emirati arabi uniti,2,1,4,1,,,61+,singola tratta,emirates,ek0091,,,
alb,bgy,tia,2024-02-11 12:10:00,bergamo,tirana,albania,2,64,64,9,visto,m,61+,singola tratta,ryanair dac,fr8350,respinto,,
afg,mxp,kbl,2024-02-26 15:55:00,milano,kabul,afghanistan,2,1,1,1,,m,0-17,singola tratta,emirates,ek0091,,,
alb,fco,tun,2024-02-18 19:05:00,roma,tunis,tunisia,5,1,1,0,,m,46-60,singola tratta,ita airways,az0867,,,
,fco,ika,2024-01-26 12:15:00,roma,tehran,iran,5,1,1,1,permesso di soggiorno,f,46-60,singola tratta,turkish airlines,tk7660,segnalato,,
alb,mxp,tia,2024-01-09 06:20:00,milano,tirana,albania,2,112,112,12,,f,18-30,singola tratta,wizz air malta,w46607,segnalato,,
alb,mxp,han,2024-01-08 15:30:00,milano,hanoi,vietnam,2,1,1,0,visto,f,18-30,singola tratta,qatar airways,qr0117,,,
alb,mxp,cle,2024-02-19 18:25:00,milano,cleveland,stati uniti,2,1,1,0,visto,f,18-30,singola tratta,united airlines,ua0019,ok,,
alb,cta,tia,2024-02-05 16:50:00,catania,tirana,albania,7,23,23,4,permesso di soggiorno,f,0-17,singola tratta,wizz air malta,w46688,,,
,blq,stn,2024-01-05 00:00:00,bologna,londra,regno unito,8,5,5,0,visto,m,18-30,singola tratta,ryanair dac,fr1194,respinto,,
,bgy,bhx,2024-01-28 18:30:00,bergamo,birmingham,regno unito,2,2,2,0,carta d'identità,m,61+,singola tratta,ryanair dac,fr5103,ok,,
alb,blq,tia,2024-02-10 18:10:00,bologna,tirana,albania,8,104,104,15,,m,,singola tratta,ryanair dac,fr8399,,,
alb,pmo,tia,2024-02-11 16:55:00,palermo,tirana,albania,7,1,0,0,,m,46-60,singola tratta,ita airways,az0585,,,
alb,vrn,stn,2024-02-17 17:40:00,verona,londra,regno unito,4,1,1,0,visto,m,,singola tratta,ryanair dac,fr2338,ok,,
alb,cia,tia,2024-01-27 00:00:00,roma,tirana,albania,5,77,77,16,,f,0-17,singola tratta,ryanair dac,fr8360,,,
afg,nap,kbl,2024-02-29 07:30:00,napoli,kabul,afghanistan,6,2,2,2,permesso di soggiorno,f,,singola tratta,fly dubai,fz1681,respinto,,
alb,vce,skp,2024-01-27 00:00:00,venezia,skopie,macedonia,4,1,1,1,passaporto,m,31-45,singola tratta,wizz air hungary,w67751,respinto,,
alb,blq,tia,2024-01-10 09:10:00,bologna,tirana,albania,8,138,141,20,,,31-45,singola tratta,ryanair dac,fr8399,fermato,,
alb,tsf,tia,2024-01-21 20:10:00,treviso,tirana,albania,4,72,72,13,visto,m,,singola tratta,ryanair dac,fr8400,ok,,
alb,fco,tia,2024-01-11 05:35:00,roma,tirana,albania,5,9,0,0,visto,f,31-45,singola tratta,ita airways,az0507,segnalato,,
alb,mxp,tia,2024-02-04 20:10:00,milano,tirana,albania,2,53,53,17,carta d'identità,f,0-17,singola tratta,wizz air malta,w46609,fermato,,
afg,fco,ika,2024-01-04 06:00:00,roma,tehran,iran,5,11,11,1,permesso di soggiorno,f,0-17,singola tratta,iran air,ir0739,segnalato,,
alb,peg,stn,2024-02-18 11:45:00,perugia,londra,regno unito,5,2,2,1,visto,m,18-30,singola tratta,ryanair dac,fr2497,in attesa,,
alb,bri,tia,2024-02-27 16:40:00,bari,tirana,albania,9,33,33,1,permesso di soggiorno,m,0-17,singola tratta,wizz air malta,w46647,,,
alb,mxp,man,2024-02-10 06:30:00,milano,manchester,regno unito,2,2,2,0,visto,f,18-30,singola tratta,ryanair dac,fr6818,,,
ago,fco,lad,2024-01-06 09:15:00,roma,luanda,angola,5,2,2,0,carta d'identità,f,61+,singola tratta,turkish airlines,tk1861,respinto,,r3
are,bgy,shj,2024-01-31 07:15:00,bergamo,sharjah,emirati arabi uniti,2,6,6,0,passaporto,m,31-45,singola tratta,air arabia,g90710,respinto,,
alb,bgy,ist,2024-01-02 15:05:00,bergamo,istanbul,turchia,2,3,3,2,visto,f,61+,singola tratta,freebird airlines,fh0805,,,
alb,psa,tia,2024-02-02 16:10:00,pisa,tirana,albania,8,117,118,12,,,,singola tratta,wizz air malta,w46649,ok,,
alb,fco,tia,2024-02-11 20:00:00,roma,tirana,albania,5,,,,,m,46-60,singola tratta,wizz air malta,w43887,,,
alb,bgy,tia,2024-02-26 06:10:00,bergamo,tirana,albania,2,72,72,5,,m,0-17,singola tratta,wizz air malta,w43845,respinto,,
alb,blq,tia,2024-01-29 19:25:00,bologna,tirana,albania,8,90,90,16,permesso di soggiorno,f,,singola tratta,ryanair dac,fr8399,ok,,
alb,vce,ruh,2024-01-05 18:55:00,venezia,riyadh,arabia saudita,4,1,1,0,,m,46-60,singola tratta,wizz air malta,w46754,respinto,,
alb,psa,stn,2024-02-15 11:55:00,pisa,londra,regno unito,8,1,1,0,passaporto,m,46-60,singola tratta,ryanair dac,fr0584,in attesa,,
alb,psa,tia,2024-01-26 16:10:00,pisa,tirana,albania,8,159,159,17,visto,f,61+,singola tratta,wizz air malta,w46649,segnalato,,
alb,mxp,dxb,2024-02-15 08:25:00,milano,dubai,emirati arabi uniti,2,1,1,0,,f,,singola tratta,kuwait airways,ku0163,segnalato,,
afg,fco,ika,2024-01-12 09:15:00,roma,tehran,iran,5,1,1,0,visto,m,61+,singola tratta,turkish airlines,tk1861,fermato,,
alb,bgy,stn,2024-01-27 08:10:00,bergamo,londra,regno unito,2,,,,visto,f,0-17,singola tratta,ryanair dac,fr3674,,,
alb,vce,stn,2024-01-12 18:15:00,venezia,londra,regno unito,4,1,1,0,,f,0-17,singola tratta,ryanair dac,fr0798,fermato,,
alb,mxp,dfw,2024-01-26 18:05:00,milano,dallas-fort worth,stati uniti,2,1,1,0,,m,18-30,singola tratta,united airlines,ua0019,in attesa,,
alb,fco,mia,2024-01-09 19:35:00,roma,miami,stati uniti,5,1,1,0,,,18-30,singola tratta,delta air lines,dl0230,,,
alb,vce,tia,2024-01-09 21:55:00,venezia,tirana,albania,4,90,90,20,,m,31-45,singola tratta,wizz air malta,w46718,fermato,,
alb,bgy,rak,2024-02-01 14:15:00,bergamo,marrakech,marocco,2,1,1,5,visto,m,0-17,singola tratta,ryanair dac,fr8847,,,
alb,cag,tia,2024-02-04 16:55:00,cagliari,tirana,albania,5,1,0,0,permesso di soggiorno,,46-60,singola tratta,ita airways,az0585,ok,,
alb,bgy,tia,2024-01-30 06:10:00,bergamo,tirana,albania,2,57,57,8,,,0-17,singola tratta,wizz air malta,w43845,,,
alb,blq,stn,2024-02-02 20:50:00,bologna,londra,regno unito,8,1,1,0,permesso di soggiorno,f,18-30,singola tratta,ryanair dac,fr1194,fermato,alert manuale,
alb,fco,doh,2024-02-08 15:35:00,roma,doha,qatar,5,1,1,0,carta d'identità,f,46-60,singola tratta,qatar airways,qr0113,,,
alb,fco,jfk,2024-01-03 17:50:00,roma,new york,stati uniti,5,1,1,0,carta d'identità,,18-30,singola tratta,delta air lines,dl0182,fermato,,
alb,goa,tia,2024-02-11 00:00:00,genova,tirana,albania,1,115,115,21,passaporto,f,31-45,singola tratta,wizz air malta,w46637,,,
alb,fco,yyc,2024-01-13 20:00:00,roma,calgary,canada,5,2,2,0,carta d'identità,f,0-17,singola tratta,air canada,ac0890,respinto,,
alb,bgy,man,2024-02-05 14:00:00,bergamo,manchester,regno unito,2,1,1,0,,f,61+,singola tratta,ryanair dac,fr3216,in attesa,,
alb,psa,stn,2024-01-10 12:10:00,pisa,londra,regno unito,8,1,1,0,,f,61+,singola tratta,ryanair dac,fr0584,ok,,
alb,blq,lhr,2024-01-19 15:25:00,bologna,londra,regno unito,8,2,2,3,,f,,singola tratta,british airways,ba0542,fermato,,
alb,flr,lcy,2024-02-10 07:05:00,firenze,londra,regno unito,8,1,1,0,permesso di soggiorno,m,31-45,singola tratta,british airways,ba8471,fermato,,r2
afg,fco,lgw,2024-02-18 15:40:00,roma,londra,regno unito,5,1,1,1,passaporto,m,46-60,singola tratta,easyjet,u28327,segnalato,,
,fco,tia,2024-02-29 06:05:00,roma,tirana,albania,5,115,115,4,permesso di soggiorno,f,18-30,singola tratta,wizz air malta,w43857,respinto,,
afg,bgy,saw,2024-01-19 13:35:00,bergamo,istanbul,turchia,2,1,1,1,passaporto,f,61+,singola tratta,pegasus airlines,pc1213,in attesa,,
alb,mxp,tia,2024-01-22 20:10:00,milano,tirana,albania,2,91,91,22,,f,0-17,singola tratta,wizz air malta,w46609,fermato,,
alb,mxp,tia,2024-02-01 12:50:00,milano,tirana,albania,2,29,29,7,carta d'identità,f,18-30,singola tratta,air albania,zb2003,in attesa,,
alb,mxp,tia,2024-02-10 12:50:00,milano,tirana,albania,2,75,75,9,permesso di soggiorno,m,31-45,singola tratta,air albania,zb2003,ok,,
alb,fco,jed,2024-01-03 22:30:00,roma,jeddah,arabia saudita,5,2,0,4,carta d'identità,f,46-60,singola tratta,wizz air malta,w48350,segnalato,,
alb,blq,saw,2024-01-30 11:10:00,bologna,istanbul,turchia,8,6,6,3,,m,46-60,singola tratta,pegasus airlines,pc1217,,,
alb,trn,tia,2024-02-13 06:55:00,torino,tirana,albania,1,61,61,10,passaporto,m,46-60,singola tratta,wizz air malta,w46603,ok,,
alb,blq,tia,2024-01-09 20:45:00,bologna,tirana,albania,8,99,99,12,carta d'identità,f,46-60,singola tratta,wizz air malta,w43847,in attesa,,
alb,psa,dxb,2024-01-11 08:00:00,pisa,dubai,emirati arabi uniti,8,1,1,0,visto,m,,singola tratta,fly dubai,fz1295,segnalato,,
,mxp,ewr,2024-01-14 18:05:00,milano,newark,stati uniti,2,1,1,0,visto,f,,singola tratta,united airlines,ua0019,,,
,mxp,ssh,2024-02-28 20:15:00,milano,sharm el sheikh,egitto,2,2,3,1,passaporto,m,61+,singola tratta,easyjet europe,ec3900,,,
alb,cia,tia,2024-01-10 08:55:00,roma,tirana,albania,5,123,123,15,passaporto,m,18-30,singola tratta,ryanair dac,fr8360,in attesa,,
afg,mxp,ika,2024-02-28 08:50:00,milano,tehran,iran,2,22,22,6,permesso di soggiorno,f,0-17,singola tratta,iran air,ir0751,ok,,
alb,cia,tia,2024-01-24 08:55:00,roma,tirana,albania,5,82,82,84,visto,f,0-17,singola tratta,ryanair dac,fr8360,fermato,,
alb,bgy,tia,2024-02-08 09:00:00,bergamo,tirana,albania,2,106,109,16,passaporto,m,31-45,singola tratta,ryanair dac,fr8350,,,
alb,blq,dxb,2024-02-07 08:55:00,bologna,dubai,emirati arabi uniti,8,1,1,0,carta d'identità,f,46-60,singola tratta,emirates,ek0093,ok,,
,bri,tia,2024-02-17 20:55:00,bari,tirana,albania,9,19,19,4,permesso di soggiorno,,31-45,singola tratta,wizz air malta,w46647,segnalato,,
alb,fco,tia,2024-02-27 19:55:00,roma,tirana,albania,5,59,59,9,visto,m,0-17,singola tratta,wizz air malta,w43887,fermato,,
alb,fco,tgd,2024-02-12 13:50:00,roma,podgorica,montenegro,5,1,1,0,carta d'identità,f,31-45,singola tratta,air montenegro,4o0330,fermato,,
alb,vrn,tia,2024-01-21 15:55:00,verona,tirana,albania,4,100,100,15,visto,f,31-45,singola tratta,wizz air malta,w4-3883,fermato,,
alb,fco,gyd,2024-01-04 23:15:00,roma,baku,azerbaigian,5,1,3,0,passaporto,m,46-60,singola tratta,wizz air malta,w48372,ok,,
alb,vce,lgw,2024-02-09 09:00:00,venezia,londra,regno unito,4,2,2,1,visto,m,31-45,singola tratta,wizz air malta,w45789,,,
alb,peg,tia,2024-02-20 16:00:00,perugia,tirana,albania,5,139,139,20,visto,m,46-60,singola tratta,wizz air malta,w44811,fermato,,
alb,cta,tia,2024-01-05 19:55:00,catania,tirana,albania,7,84,84,12,passaporto,m,18-30,singola tratta,wizz air malta,w46688,ok,,
afg,bgy,saw,2024-01-26 11:10:00,bergamo,istanbul,turchia,2,1,2,1,permesso di soggiorno,m,18-30,singola tratta,turkish airlines,tk7794,segnalato,,
alb,fco,lgw,2024-01-06 15:25:00,roma,londra,regno unito,5,1,1,0,passaporto,f,,singola tratta,easyjet,u26571,fermato,,
alb,bgy,edi,2024-02-01 14:30:00,bergamo,edinburgh,regno unito,2,1,1,0,,m,31-45,singola tratta,ryanair uk,rk3646,in attesa,,
alb,vce,stn,2024-02-19 07:20:00,venezia,londra,regno unito,4,1,1,2,permesso di soggiorno,f,31-45,singola tratta,ryanair dac,fr0792,,,
alb,fco,tia,2024-01-06 19:25:00,roma,tirana,albania,5,91,0,0,carta d'identità,m,61+,singola tratta,wizz air malta,w4-3887,in attesa,,
alb,vce,lgw,2024-02-16 11:25:00,venezia,londra,regno unito,4,1,1,0,permesso di soggiorno,f,61+,singola tratta,easyjet,u28319,respinto,,
,cia,tia,2024-01-22 12:15:00,roma,tirana,albania,5,63,63,6,,f,61+,singola tratta,ryanair dac,fr8320,segnalato,,
alb,fco,tia,2024-01-04 06:10:00,roma,tirana,albania,5,117,117,13,visto,f,31-45,singola tratta,wizz air malta,w43857,segnalato,,
alb,mxp,lgw,2024-01-14 09:35:00,milano,londra,regno unito,2,1,1,0,permesso di soggiorno,f,31-45,singola tratta,easyjet europe,ec8305,respinto,,
alb,suf,tia,2024-01-14 20:00:00,lamezia terme,tirana,albania,6,21,22,3,,f,61+,singola tratta,wizz air malta,w44819,in attesa,,
alb,fco,jed,2024-01-24 22:15:00,roma,jeddah,arabia saudita,5,4,0,0,passaporto,m,61+,,wizz air malta,w48350,in attesa,,
alb,bgy,tia,2024-02-08 14:55:00,bergamo,tirana,albania,2,65,65,11,,f,0-17,singola tratta,wizz air malta,w43869,segnalato,,
alb,vce,tia,2024-01-02 21:55:00,venezia,tirana,albania,4,62,62,16,permesso di soggiorno,m,18-30,singola tratta,wizz air malta,w46718,ok,,
