AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
tun,mxp,tunisia,2,8.0,0.375,0.5,0.0,0.0,1,1,1,1,0,0.9281432141303331
jed,fco,arabia saudita,5,40.0,0.125,0.1111111111111111,0.07692307692307693,0.11538461538461539,0,1,1,1,0,0.6297678273977735
tia,bgy,albania,2,24454.0,0.1870450642021755,0.18437346875139204,0.22169811320754718,0.22169811320754718,1,1,1,1,0,0.5915135925041765
lgw,fco,regno unito,5,76.0,0.07894736842105263,0.04838709677419355,0.28205128205128205,0.1794871794871795,1,1,1,1,0,0.5563513473015397
ist,bri,turchia,9,14.0,0.21428571428571427,0.16666666666666666,0.42857142857142855,0.0,1,1,1,1,0,0.4980438811555156
beg,fco,serbia,5,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,1,1,1,0,0.46550766369626767
dss,mxp,senegal,2,2.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0.46169719649143176
saw,fco,turchia,5,120.0,0.35,0.31343283582089554,0.12727272727272726,0.14545454545454545,1,1,1,1,0,0.4613006579954675
ist,cta,turchia,7,7.0,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.0,0,1,1,1,2,0.4393550240298354
pek,fco,cina,5,2.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0.4290781433382216
dmm,fco,arabia saudita,5,1.0,1.0,0.0,0.0,1.0,1,1,1,1,0,0.3860416800323175
gru,fco,brasile,5,0.0,0.17504013260736295,0.0,0.0,0.0,0,1,1,1,0,0.38235071788487357
cmn,blq,marocco,8,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1,1,1,1,0,0.37961639626779076
tia,aoi,albania,8,4408.0,0.21687840290381125,0.22036896638867828,0.3142857142857143,0.14285714285714285,1,0,1,1,0,0.37811376965081167
dxb,vce,emirati arabi uniti,4,2.0,0.5,1.0,0.0,0.0,1,1,1,1,0,0.3563123200250741
tia,blq,albania,8,19885.0,0.19884334925823485,0.200309151964181,0.24260355029585798,0.20710059171597633,1,0,1,1,0,0.3560109070884765
ist,nap,turchia,6,3.0,0.6666666666666666,0.5,0.0,0.6666666666666666,1,0,1,1,0,0.3389256612955187
doh,fco,qatar,5,3.0,0.3333333333333333,0.0,0.0,0.0,1,0,1,1,0,0.3378680799542388
tia,fco,albania,5,11340.0,0.09964726631393298,0.1031348543869412,0.19047619047619047,0.23214285714285715,1,0,1,1,0,0.33686504342877344
ika,mxp,iran,2,171.0,0.25146198830409355,0.0,0.23529411764705882,0.11764705882352941,0,0,1,0,0,0.33089518489717556
ika,fco,iran,5,255.0,0.15294117647058825,0.0,0.047619047619047616,0.38095238095238093,0,0,1,0,0,0.32664121777480015
add,fco,etiopia,5,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0.32482589995032946
lhr,lin,regno unito,2,18.0,0.05555555555555555,0.058823529411764705,0.45454545454545453,0.09090909090909091,0,0,1,0,0,0.3166192021989282
ist,vce,turchia,4,23.0,0.5652173913043478,0.5,0.18181818181818182,0.2727272727272727,0,0,1,0,1,0.31439937722530975
tun,blq,tunisia,8,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0.3124633272847557
kwi,fco,kuwait,5,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.3010338109525675
bhx,vrn,regno unito,4,6.0,0.5,0.4,0.25,0.0,0,0,1,0,0,0.29709130032898917
sin,mxp,singapore,2,2.0,0.5,1.0,1.0,0.0,0,0,1,0,0,0.29482176001931304
tia,tsf,albania,4,12349.0,0.1720787108267876,0.1718843299496716,0.21666666666666667,0.23333333333333334,0,0,1,0,0,0.2911795980272673
tia,goa,albania,1,5315.0,0.24101599247412983,0.24912641315519013,0.12280701754385964,0.21052631578947367,0,0,1,0,0,0.2909556854910706
alg,mxp,algeria,2,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.2883547026454616
tia,ciy,albania,7,707.0,0.157001414427157,0.157001414427157,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.2876233126150092
rak,bgy,marocco,2,10.0,0.2,0.2222222222222222,0.2,0.2,0,0,1,0,0,0.286476540754932
jed,vce,arabia saudita,4,8.0,0.375,0.16666666666666666,0.4,0.0,0,0,1,0,0,0.2860916158340668
tia,mxp,albania,2,17849.0,0.1751358619530506,0.17356568054188617,0.16666666666666666,0.28205128205128205,0,0,1,0,0,0.28527468134765055
saw,bgy,turchia,2,153.0,0.41830065359477125,0.3888888888888889,0.1774193548387097,0.24193548387096775,0,0,0,0,0,0.2845163661492663
man,vce,regno unito,4,4.0,0.75,0.5,0.25,0.25,0,0,1,0,0,0.2837160820160769
cai,bgy,egitto,2,7.0,0.2857142857142857,0.4,0.0,0.5,0,0,0,0,0,0.2826027824439686
ist,mxp,turchia,2,53.0,0.41509433962264153,0.24324324324324326,0.1724137931034483,0.2413793103448276,0,0,1,0,0,0.28114207557184495
bhx,vce,regno unito,4,10.0,0.3,0.0,0.2,0.4,0,0,0,0,0,0.27411748473311665
doh,mxp,qatar,2,6.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,1,0,0,0.27225851688916236
tia,psa,albania,8,20625.0,0.176,0.16965308886342328,0.24242424242424243,0.2196969696969697,0,0,1,0,0,0.2719232500679944
ist,fco,turchia,5,34.0,0.35294117647058826,0.5833333333333334,0.14285714285714285,0.21428571428571427,0,0,0,0,1,0.26888355628875144
lrm,mxp,repubblica dominicana,2,12.0,0.3333333333333333,0.2727272727272727,0.0,0.25,0,0,0,0,0,0.26822228894679256
dxb,mxp,emirati arabi uniti,2,64.0,0.390625,0.39344262295081966,0.3181818181818182,0.2727272727272727,0,0,0,0,0,0.26283044978963094
mct,mxp,oman,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.2617801692306602
gru,mxp,brasile,2,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0.25742363987446054
mba,mxp,kenya,2,4.0,0.75,0.6666666666666666,0.0,0.0,0,0,0,0,0,0.25456345213072656
man,nap,regno unito,6,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.2502864061838075
