OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
voli investigati,fco,tia,2023-01-01 00:00:00,roma,tirana,albania,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,lgw,2023-01-01 00:00:00,milano,londra,regno unito,2.0,128.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi generati,bri,ist,2023-01-01 00:00:00,bari,istanbul,turchia,9.0,7.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,dxb,2023-02-01 00:00:00,napoli,dubai,emirati arabi uniti,6.0,96.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,ewr,2023-12-31 00:00:00,milano,newark,stati uniti,2.0,177.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,gru,2023-12-31 20:40:00,roma,san paolo,brasile,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,jfk,2023-12-31 22:20:00,milano,new york,stati uniti,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
esito negativo,fco,eze,2023-12-31 22:40:00,roma,buenos aires,argentina,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,dss,2024-01-01 00:00:00,milano,dakar,senegal,2.0,33.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,alg,2024-01-01 00:00:00,milano,algeri,algeria,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,pvg,2024-01-01 00:00:00,roma,shanghai,cina,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,alg,2024-01-01 00:00:00,roma,algeri,algeria,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,beg,2024-01-01 00:00:00,milano,belgrado,serbia,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,bgy,ncl,2024-01-01 00:00:00,bergamo,newcastle,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,del,2024-01-01 00:00:00,roma,nuova delhi,india,5.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,ist,2024-01-01 00:00:00,roma,istanbul,turchia,5.0,,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vce,lhr,2024-01-01 00:00:00,venezia,londra,regno unito,4.0,190.0,interpol,,,,,,,,,,,,,,,,,,,
esito negativo,mxp,jfk,2024-01-01 00:00:00,milano,new york,stati uniti,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
esito negativo,goa,stn,2024-01-01 00:00:00,genova,londra,regno unito,1.0,3.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,jfk,2024-01-01 00:00:00,milano,new york,stati uniti,2.0,,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,saw,2024-01-01 00:00:00,roma,istanbul,turchia,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
