occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
voli con allarmi,fco,ist,2024,1,2024-01-30 09:15:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,1.0,manuale,,,turchia,ita,5,italia,1.0
viaggiatori con allarmi,cia,stn,2024,2,2024-02-03 13:15:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,5.0,manuale,,,regno unito,ita,5,italia,5.0
viaggiatori entrati nel sistema,fco,lhr,2024,1,2024-01-15 08:45:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,110.0,tsc,,,regno unito,ita,5,italia,110.0
voli con allarmi,mxp,lhr,2024,2,2024-02-02 08:40:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,psa,brs,2024,2,2024-02-16 12:50:00,galileo galilei,bristol,pisa,bristol,ita,gbr,italia,regno unito,8,2.0,interpol,,,regno unito,ita,8,italia,2.0
voli con allarmi,mxp,lhr,,1,2024-01-06 09:20:00,malpensa,,milano,londra,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,vce,skp,2024,1,2024-01-27 06:40:00,venezia marco polo,petrovec,venezia,skopie,ita,mkd,italia,macedonia,4,165.0,manuale,,,macedonia,ita,4,italia,165.0
voli investigati (sdi/nsis - interpol - tsc),fco,doh,2024,2,2024-02-15 09:15:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,1.0,manuale,,,qatar,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,rmo,2023,2,2024-02-14 17:20:00,fiumicino,chisinau international airport,roma,chisinau,ita,mda,italia,moldavia,5,1.0,,,,moldavia,ita,5,italia,1.0
voli disponibili in ingresso al sistema,mxp,ssh,2024,2,2024-02-25 13:10:00,malpensa,,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,sdi,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,cai,2024,1,2024-01-13 10:00:00,fiumicino,cairo international,roma,cairo,ita,eg,italia,egitto,5,1.0,,,,egitto,ita,5,italia,1.0
voli disponibili in ingresso al sistema,vce,stn,2024,1,2024-01-05 18:15:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,1.0,sdi,,,regno unito,ita,4,italia,1.0
viaggiatori con allarmi,mxp,jed,2024,2,2024-02-11 19:30:00,malpensa,king abdulaziz international,milano,jeddah,ita,sau,italia,arabia saudita,2,32.0,tsc,,,arabia saudita,ita,2,italia,32.0
"voli solo visualizzati, ma non investigati",bgy,stn,2024,2,2024-02-23 07:15:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,brs,2024,2,2024-02-09 12:50:00,fiumicino,bristol,roma,bristol,ita,gbr,italia,regno unito,5,1.0,manuale,,,regno unito,ita,5,italia,1.0
errata segnalazione sdi,fco,sin,2024,1,2024-01-02 02:05:00,fiumicino,changi,roma,singapore,ita,sgp,italia,singapore,5,1.0,,,,singapore,ita,5,italia,1.0
voli con allarmi,blq,tun,2023,2,2024-02-12 08:00:00,guglielmo marconi,carthage,bologna,tunis,ita,tun,italia,tunisia,8,1.0,nsis,,,tunisia,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,1,2024-01-15 17:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,manuale,,,albania,ita,2,italia,1.0
voli con allarmi,mxp,hkg,2024,1,2024-01-13 00:50:00,malpensa,,milano,hong kong,ita,hkg,italia,hong kong,2,1.0,manuale,,,hong kong,ita,2,italia,1.0
voli disponibili in ingresso al sistema,blq,ist,2024,1,,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,nsis,,,turchia,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,tun,2024,1,2024-01-24 11:25:00,fiumicino,carthage,roma,tunis,ita,tun,italia,tunisia,5,1.0,sdi,,,tunisia,ita,5,italia,1.0
viaggiatori investigati,blq,cmn,2024,1,2024-01-14 07:55:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,158.0,,,,marocco,ita,8,italia,158.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tun,2024,2,2024-02-04 07:45:00,malpensa,carthage,milano,tunis,ita,tun,italia,tunisia,2,2.0,nsis,,,tunisia,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",vrn,tia,2024,1,2024-01-29 20:30:00,verona villafranca,rinas mother teresa,verona,tirana,ita,alb,italia,albania,4,-500.0,,,,albania,ita,4,italia,1.0
nulla a procedere sdi,cia,man,2024,2,2024-02-10 15:15:00,ciampino,manchester,roma,manchester,ita,gbr,italia,regno unito,5,2.0,tsc,,,regno unito,ita,5,italia,2.0
voli con allarmi,mxp,tpe,2024,2,2024-02-19 23:05:00,malpensa,taiwan taoyuan international,milano,taipei,ita,twn,italia,taiwan,2,1.0,manuale,,,taiwan,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,tpe,2024,1,2024-01-11 23:25:00,fiumicino,taiwan taoyuan international,roma,taipei,ita,twn,italia,taiwan,5,8.0,sdi,,,taiwan,ita,5,italia,8.0
nulla a procedere sdi,blq,beg,2024,2,2024-02-25 17:30:00,guglielmo marconi,nikola tesla,bologna,belgrado,ita,srb,italia,serbia,8,1.0,interpol,,,serbia,ita,8,italia,1.0
viaggiatori investigati,nap,ist,2024,2,2024-02-08 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,120.0,interpol,,,turchia,ita,6,italia,120.0
allarmi generati da sdi/nsis,mxp,mct,2024,1,2024-01-19 17:25:00,malpensa,seeb,milano,muscat,ita,omn,italia,oman,2,44.0,,doppio controllo,,oman,ita,2,italia,44.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,2,2024-02-18 15:15:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,,,,albania,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,alg,2024,2,2024-02-08 10:30:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,2.0,,,,algeria,ita,5,italia,2.0
voli disponibili in ingresso al sistema,fco,tlv,2024,2,2024-02-02 06:10:00,fiumicino,ben gurion international,roma,tel aviv yafo,ita,isr,italia,israele,5,1.0,interpol,,,israele,ita,5,italia,1.0
allarmi chiusi,goa,tia,2024,2,2024-02-07 12:25:00,cristoforo colombo,rinas mother teresa,genova,tirana,ita,alb,italia,albania,1,34.0,nsis,,,albania,ita,1,italia,34.0
voli investigati (sdi/nsis - interpol - tsc),blq,dxb,2024,1,2024-01-19 08:55:00,guglielmo marconi,dubai international,bologna,dubai,ita,are,italia,emirati arabi uniti,8,1.0,tsc,alert manuale,,emirati arabi uniti,ita,8,italia,1.0
