dataset,group_key,group_volume,n_records,rate,baseline_mean,baseline_std
allarmi_raw,aoi|1,396.0,14,28.285714285714285,28.285714285714285,45.33028970605819
allarmi_raw,aoi|2,288.0,9,32.0,32.0,67.72185762366534
allarmi_raw,aoi|6,16.0,1,16.0,16.0,
allarmi_raw,bds|1,29.0,4,7.25,7.25,7.5
allarmi_raw,bds|2,149.0,2,74.5,74.5,91.21677477306463
allarmi_raw,bgy|1,8363.0,206,40.59708737864078,41.19704433497537,66.52246394296122
allarmi_raw,bgy|10,22.0,4,5.5,7.333333333333333,5.507570547286102
allarmi_raw,bgy|11,154.0,2,77.0,77.0,107.48023074035522
allarmi_raw,bgy|12,133.0,2,66.5,66.5,92.63098833543772
allarmi_raw,bgy|2,6326.0,220,28.754545454545454,29.560747663551403,71.16154703183594
allarmi_raw,bgy|3,2.0,2,1.0,1.0,0.0
allarmi_raw,bgy|4,,1,,,
allarmi_raw,bgy|5,8.0,1,8.0,8.0,
allarmi_raw,bgy|6,2.0,2,1.0,1.0,0.0
allarmi_raw,bgy|7,12.0,3,4.0,4.0,5.196152422706632
allarmi_raw,bgy|8,189.0,2,94.5,94.5,132.22896808188437
allarmi_raw,bgy|9,10.0,3,3.3333333333333335,3.3333333333333335,4.041451884327381
allarmi_raw,blq|1,16532.0,158,104.63291139240506,107.35064935064935,805.2829854771066
allarmi_raw,blq|10,159.0,1,159.0,159.0,
allarmi_raw,blq|11,3.0,3,1.0,1.0,0.0
allarmi_raw,blq|2,3920.0,139,28.201438848920862,30.153846153846153,57.678937826674286
allarmi_raw,blq|3,166.0,1,166.0,166.0,
allarmi_raw,blq|4,177.0,6,29.5,29.5,67.36987457313543
allarmi_raw,blq|5,179.0,2,89.5,89.5,123.74368670764582
allarmi_raw,blq|6,1.0,1,1.0,1.0,
allarmi_raw,blq|7,115.0,3,38.333333333333336,38.333333333333336,43.82160806421112
allarmi_raw,blq|8,39.0,1,39.0,39.0,
allarmi_raw,blq|9,1.0,1,1.0,1.0,
allarmi_raw,bri|1,1237.0,27,45.81481481481482,47.57692307692308,68.75648221188928
allarmi_raw,bri|10,2.0,2,1.0,1.0,0.0
allarmi_raw,bri|12,15.0,1,15.0,15.0,
allarmi_raw,bri|2,993.0,24,41.375,41.375,72.15491335826779
allarmi_raw,bri|4,1.0,1,1.0,1.0,
allarmi_raw,bri|7,10.0,1,10.0,10.0,
allarmi_raw,bzo|1,1.0,2,0.5,0.5,0.7071067811865476
allarmi_raw,cag|1,343.0,4,85.75,85.75,91.87446144966874
allarmi_raw,cag|2,12.0,3,4.0,4.0,5.196152422706632
allarmi_raw,cia|1,3055.0,88,34.71590909090909,36.36904761904762,64.82205109000932
allarmi_raw,cia|2,3165.0,68,46.544117647058826,48.69230769230769,76.93583427866267
allarmi_raw,cia|4,1.0,1,1.0,1.0,
allarmi_raw,cia|5,1.0,1,1.0,1.0,
allarmi_raw,ciy|1,123.0,3,41.0,41.0,69.2820323027551
allarmi_raw,cta|1,1466.0,50,29.32,30.541666666666668,50.447764572422926
allarmi_raw,cta|11,1.0,1,1.0,1.0,
allarmi_raw,cta|12,1.0,1,1.0,1.0,
allarmi_raw,cta|2,1017.0,53,19.18867924528302,20.755102040816325,39.61035776380808
allarmi_raw,cta|4,55.0,1,55.0,55.0,
allarmi_raw,cta|7,2.0,1,2.0,2.0,
allarmi_raw,cuf|1,169.0,5,33.8,33.8,73.3430296619931
allarmi_raw,cuf|2,2.0,1,2.0,2.0,
allarmi_raw,fco|1,24638.0,604,40.79139072847682,42.333333333333336,84.15021538464919
allarmi_raw,fco|10,47.0,2,23.5,23.5,31.81980515339464
allarmi_raw,fco|11,286.0,5,57.2,57.2,120.1361727374399
allarmi_raw,fco|12,855.0,9,95.0,95.0,147.11135238315228
allarmi_raw,fco|2,28390.0,565,50.24778761061947,51.901279707495426,94.09105041176927
allarmi_raw,fco|3,276.0,8,34.5,34.5,57.016288399519155
allarmi_raw,fco|4,528.0,6,88.0,88.0,109.05778284927675
allarmi_raw,fco|5,399.0,5,79.8,79.8,141.74872133462085
allarmi_raw,fco|6,481.0,6,80.16666666666667,80.16666666666667,124.87180092665703
