dataset,group_key,group_volume,n_records,rate,baseline_mean,baseline_std,z_score,ratio_to_baseline,anomaly_score,is_outlier
tipologia_raw,tia|bgy,4793.0,297,16.13804713804714,16.358361774744026,16.330215294159544,9.049568457344687,293.0,301.04956845734466,True
tipologia_raw,tia|blq,4138.0,231,17.913419913419915,18.149122807017545,16.108788996308295,7.791687597882667,228.0,234.79168759788266,True
tipologia_raw,tia|fco,1169.0,227,5.149779735682819,5.242152466367713,12.894394998333407,2.08993451125253,223.0,224.08993451125252,True
tipologia_raw,tia|mxp,3282.0,220,14.918181818181818,15.194444444444445,16.522265925648014,6.147800551013217,216.0,221.1478005510132,True
tipologia_raw,tia|psa,3762.0,199,18.90452261306533,19.492227979274613,17.284723255843236,7.069606371687676,192.99999999999997,199.06960637168766,True
tipologia_raw,tia|tsf,2239.0,176,12.721590909090908,12.867816091954024,15.172983247750016,4.144793319839343,173.99999999999997,177.14479331983932,True
tipologia_raw,tia|bri,884.0,122,7.245901639344262,7.305785123966942,11.005940044060004,1.5426123052270708,121.0,121.54261230522707,True
tipologia_raw,tia|vrn,6966.0,90,77.4,78.26966292134831,528.1920011623903,13.222660224689681,89.0,101.22266022468968,True
allarmi_raw,lhr|lin,13451.0,101,133.17821782178217,137.25510204081633,1008.2189799699464,1.6310213070325426,98.0,98.63102130703254,True
allarmi_raw,lgw|mxp,103255.0,86,1200.639534883721,1200.639534883721,10779.207843766835,13.535380207507853,86.0,98.53538020750786,True
tipologia_raw,tia|trn,1597.0,80,19.9625,19.9625,17.98764959561653,2.911878034687255,80.0,81.91187803468725,True
tipologia_raw,tia|cia,1079.0,81,13.320987654320987,13.658227848101266,18.21797230121762,1.9170959198760693,79.0,79.91709591987608,True
tipologia_raw,tia|goa,1338.0,75,17.84,17.84,32.3093325986931,2.4144869772816624,75.0,76.41448697728167,True
tipologia_raw,tia|aoi,985.0,55,17.90909090909091,18.24074074074074,22.75624333587829,1.7365756133273214,54.0,54.73657561332732,True
